Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Alex Abrines\abrinal01,SG,24,OKC,24,417,7.4,.534,.673,.183,2.3,7.9,5.0,3.5,1.8,0.5,9.6,12.9,,0.2,0.5,0.7,.079,,-1.9,-1.0,-2.9,-0.1
2,Quincy Acy\acyqu01,PF,27,BRK,21,365,5.9,.493,.804,.268,2.8,19.2,10.9,4.9,0.9,0.8,16.9,14.9,,-0.3,0.3,0.1,.007,,-3.5,-0.6,-4.1,-0.2
3,Steven Adams\adamsst01,C,24,OKC,23,728,21.3,.657,.000,.364,16.0,14.3,15.2,4.1,2.0,3.0,14.0,16.5,,2.0,1.1,3.2,.209,,1.8,1.3,3.1,0.9
4,Bam Adebayo\adebaba01,C,20,MIA,17,271,18.1,.654,.000,.525,10.2,17.5,13.9,3.5,2.6,3.6,13.2,14.0,,0.6,0.4,1.1,.187,,-0.8,2.5,1.7,0.3
5,Arron Afflalo\afflaar01,SG,32,ORL,22,300,3.5,.443,.439,.246,1.1,11.6,6.4,4.8,0.2,1.0,11.2,10.3,,-0.2,0.0,-0.1,-0.022,,-4.8,-1.3,-6.0,-0.3
6,Cole Aldrich\aldrico01,C,29,MIN,5,10,0.8,.174,.000,1.000,0.0,11.8,5.8,12.2,5.0,0.0,0.0,12.7,,0.0,0.0,0.0,-0.074,,-7.8,1.4,-6.4,0.0
7,LaMarcus Aldridge\aldrila01,PF,32,SAS,27,907,24.9,.568,.091,.312,11.1,16.5,13.8,12.0,0.8,2.9,7.1,28.7,,2.9,1.3,4.2,.221,,3.2,-0.2,3.0,1.2
8,Jarrett Allen\allenja01,C,19,BRK,18,299,15.4,.594,.029,.362,8.9,14.7,11.8,4.4,1.6,4.6,9.1,12.3,,0.5,0.4,0.9,.147,,-1.4,2.7,1.3,0.3
9,Kadeem Allen\allenka01,SG,25,BOS,1,5,-3.3,.266,1.000,2.000,22.5,21.4,21.9,0.0,0.0,0.0,34.7,25.8,,0.0,0.0,0.0,-0.277,,-12.8,-7.8,-20.5,0.0
10,Tony Allen\allento01,SG,36,NOP,22,273,8.9,.514,.132,.231,8.4,10.7,9.6,4.7,1.9,0.9,15.9,19.0,,-0.1,0.2,0.1,.009,,-3.8,-1.7,-5.5,-0.2
11,Al-Farouq Aminu\aminual01,PF,27,POR,13,382,13.9,.607,.583,.146,5.2,20.9,13.1,6.6,1.0,2.5,12.8,13.4,,0.6,0.6,1.1,.143,,0.3,1.8,2.1,0.4
12,Justin Anderson\anderju01,SF,24,PHI,10,126,9.6,.489,.542,.146,8.6,13.9,11.3,3.5,1.1,0.7,7.3,18.2,,0.1,0.1,0.2,.064,,-1.7,-3.0,-4.7,-0.1
13,Kyle Anderson\anderky01,SF,24,SAS,23,631,16.7,.569,.071,.340,5.5,18.8,12.1,16.7,2.2,2.5,14.3,14.9,,1.0,1.1,2.1,.161,,-0.1,3.3,3.2,0.8
14,Ryan Anderson\anderry01,PF,29,HOU,24,682,13.9,.638,.761,.127,5.2,15.7,10.5,3.7,0.5,1.1,8.9,15.7,,1.4,0.6,2.0,.141,,1.9,-1.5,0.5,0.4
15,Ike Anigbogu\anigbik01,C,19,IND,6,17,5.2,.340,.000,.400,13.4,12.9,13.1,0.0,2.9,4.9,25.4,20.3,,-0.1,0.0,0.0,-0.111,,-11.1,-1.0,-12.1,0.0
16,Giannis Antetokounmpo\antetgi01,PF,23,MIL,24,900,31.2,.614,.083,.488,6.5,26.6,16.5,23.3,2.3,3.9,10.9,33.5,,3.5,1.4,4.9,.261,,5.6,1.9,7.5,2.2
17,Carmelo Anthony\anthoca01,SF,33,OKC,25,820,14.5,.503,.372,.224,2.6,20.3,11.1,8.4,1.3,2.1,7.9,25.5,,0.4,1.2,1.6,.096,,-1.8,-0.9,-2.8,-0.2
18,OG Anunoby\anunoog01,SF,20,TOR,25,507,11.5,.622,.545,.179,3.7,7.3,5.6,5.4,2.1,0.2,9.5,12.8,,0.8,0.5,1.3,.120,,1.8,0.0,1.8,0.5
19,Ryan Arcidiacono\arcidry01,PG,23,CHI,1,5,-13.3,.000,1.000,.000,0.0,0.0,0.0,26.1,0.0,0.0,0.0,17.7,,0.0,0.0,0.0,-0.367,,-12.5,-10.0,-22.6,0.0
20,Trevor Ariza\arizatr01,SF,32,HOU,23,787,12.9,.614,.750,.132,1.9,12.6,7.3,7.9,2.3,0.5,9.2,13.1,,1.3,1.0,2.3,.139,,1.9,1.1,3.0,1.0
21,Darrell Arthur\arthuda01,PF,29,DEN,4,38,-9.4,.269,.692,.000,2.9,11.9,7.3,3.5,2.6,0.0,35.0,22.7,,-0.3,0.0,-0.3,-0.328,,-12.8,-2.2,-15.0,-0.1
22,Omer Asik\asikom01,C,31,NOP,7,70,5.6,.463,.000,.182,4.9,27.7,16.7,3.6,0.0,0.0,14.4,8.6,,0.0,0.0,0.0,.015,,-6.2,-1.6,-7.9,-0.1
23,D.J. Augustin\augusdj01,PG,30,ORL,21,425,15.4,.629,.453,.427,1.3,8.4,4.9,24.7,2.0,0.0,19.2,17.6,,0.8,0.2,1.0,.116,,1.1,-2.2,-1.2,0.1
24,Luke Babbitt\babbilu01,SF,28,ATL,24,459,12.5,.647,.642,.112,1.0,15.6,8.2,6.2,0.7,0.8,9.1,14.8,,0.7,0.1,0.8,.087,,0.6,-2.3,-1.7,0.0
25,Dwayne Bacon\bacondw01,SG,22,CHO,25,436,5.0,.433,.274,.104,0.2,20.2,10.1,6.6,0.9,0.4,11.2,12.4,,-0.4,0.4,0.0,.002,,-5.6,0.6,-5.0,-0.3
26,Ron Baker\bakerro01,SG,24,NYK,9,130,12.7,.608,.556,.944,0.0,4.3,2.2,23.6,3.8,0.7,26.1,11.6,,0.2,0.2,0.3,.115,,-0.6,-0.7,-1.2,0.0
27,Lonzo Ball\balllo01,PG,20,LAL,26,861,10.9,.394,.446,.133,4.4,17.5,10.9,29.2,2.0,2.3,18.3,17.4,,-0.8,1.3,0.5,.026,,-2.6,2.5,-0.1,0.4
28,J.J. Barea\bareajo01,PG,33,DAL,28,631,18.4,.550,.476,.192,1.2,14.3,7.5,41.9,1.2,0.1,15.5,26.4,,0.9,0.5,1.4,.109,,3.2,-1.5,1.6,0.6
29,Harrison Barnes\barneha02,PF,25,DAL,28,982,15.9,.535,.230,.295,3.5,20.1,11.5,10.1,1.0,0.3,9.4,24.6,,0.7,0.9,1.6,.080,,-1.2,-0.5,-1.7,0.1
30,Will Barton\bartowi01,SG,27,DEN,27,848,17.8,.577,.414,.239,3.0,16.1,9.4,17.2,1.8,1.5,11.4,21.0,,1.7,0.7,2.4,.137,,2.4,-0.4,2.0,0.9
31,Nicolas Batum\batumni01,SG,29,CHO,12,353,11.0,.466,.415,.229,2.1,13.7,7.8,22.8,1.5,1.0,16.1,19.0,,-0.2,0.4,0.2,.029,,-1.9,0.5,-1.3,0.1
32,Jerryd Bayless\bayleje01,SG,29,PHI,21,557,8.1,.549,.549,.216,1.4,8.3,4.9,9.2,1.2,0.4,14.3,14.6,,0.2,0.3,0.6,.050,,-1.4,-1.2,-2.6,-0.1
33,Aron Baynes\baynear01,C,31,BOS,29,514,13.4,.528,.029,.293,11.8,20.6,16.3,7.6,1.0,2.9,16.4,16.5,,0.4,1.0,1.3,.123,,-3.0,2.3,-0.7,0.2
34,Kent Bazemore\bazemke01,SG,28,ATL,27,774,14.2,.528,.380,.330,1.7,16.6,9.1,19.0,3.2,1.7,17.7,21.8,,0.0,0.8,0.8,.049,,-1.1,1.3,0.2,0.4
35,Bradley Beal\bealbr01,SG,24,WAS,27,943,19.8,.558,.329,.305,2.6,10.0,6.3,16.8,1.6,1.2,10.5,30.2,,1.5,0.8,2.3,.119,,2.8,-1.5,1.3,0.8
36,Malik Beasley\beaslma01,SG,21,DEN,24,253,9.3,.505,.432,.198,3.5,14.7,9.0,9.2,0.8,0.7,12.9,17.2,,0.0,0.1,0.2,.030,,-2.6,-2.5,-5.1,-0.2
37,Michael Beasley\beaslmi01,PF,29,NYK,21,323,13.5,.544,.087,.208,8.4,17.9,13.3,9.9,0.5,2.0,19.7,27.5,,-0.2,0.3,0.0,.003,,-3.4,-1.3,-4.7,-0.2
38,Marco Belinelli\belinma01,SG,31,ATL,27,686,14.8,.553,.525,.230,0.8,9.8,5.2,14.7,2.0,0.1,9.3,20.6,,0.9,0.2,1.1,.080,,1.1,-2.4,-1.3,0.1
39,Jordan Bell\belljo01,C,23,GSW,22,248,21.5,.737,.000,.065,11.4,18.4,15.2,13.3,2.3,7.4,20.1,13.9,,0.7,0.5,1.2,.227,,2.2,4.7,6.9,0.6
40,DeAndre' Bembry\bembrde01,SF,23,ATL,13,234,6.8,.455,.203,.257,2.4,14.3,8.3,13.1,2.3,2.7,24.0,20.4,,-0.6,0.2,-0.4,-0.079,,-6.7,0.8,-5.9,-0.2
41,Dragan Bender\bendedr01,PF,20,PHO,29,580,7.3,.507,.667,.119,2.3,15.4,8.8,6.3,0.7,2.5,16.0,12.1,,-0.1,0.2,0.1,.007,,-2.5,-0.4,-2.8,-0.1
42,Davis Bertans\bertada01,PF,25,SAS,24,218,13.9,.585,.789,.132,2.0,14.9,8.4,8.5,1.2,3.1,10.1,18.4,,0.3,0.3,0.6,.133,,1.0,-0.6,0.4,0.1
43,Patrick Beverley\beverpa01,SG,29,LAC,11,334,13.2,.530,.504,.143,5.2,9.9,7.5,14.8,2.8,1.3,16.5,19.9,,0.1,0.3,0.4,.057,,0.7,-0.1,0.6,0.2
44,Khem Birch\birchkh01,C,25,ORL,3,10,10.6,.400,.000,.000,22.0,0.0,10.9,15.8,0.0,0.0,0.0,21.7,,0.0,0.0,0.0,.049,,0.3,-4.4,-4.0,0.0
45,Jabari Bird\birdja01,SG,23,BOS,3,21,7.3,.403,.500,1.250,0.0,10.2,5.2,6.6,2.4,0.0,0.0,13.2,,0.0,0.0,0.0,.068,,-4.1,0.1,-4.0,0.0
46,Bismack Biyombo\biyombi01,C,25,ORL,28,428,10.5,.521,.011,.589,9.8,22.0,16.0,2.9,0.6,5.6,20.9,14.6,,-0.1,0.4,0.3,.038,,-5.5,1.3,-4.3,-0.2
47,Nemanja Bjelica\bjeline01,PF,29,MIN,18,275,18.2,.725,.494,.145,3.3,18.4,10.7,7.3,1.8,1.3,12.8,16.2,,0.7,0.2,1.0,.166,,3.0,-1.0,2.0,0.3
48,Tarik Black\blackta01,C,26,HOU,18,159,14.3,.571,.143,.429,12.3,24.0,18.3,5.6,1.8,4.9,18.1,16.6,,0.2,0.3,0.5,.145,,-2.9,2.4,-0.5,0.1
49,Antonio Blakeney\blakean01,SG,21,CHI,11,163,8.4,.457,.364,.247,1.9,11.7,6.6,7.2,0.6,0.0,8.6,25.4,,-0.2,0.1,-0.2,-0.051,,-4.8,-4.4,-9.1,-0.3
50,Eric Bledsoe\bledser01,PG,28,TOT,18,554,19.2,.545,.335,.391,3.1,11.1,7.1,21.3,3.2,2.1,14.4,27.8,,0.4,0.6,1.1,.091,,1.3,-0.8,0.5,0.4
50,Eric Bledsoe\bledser01,PG,28,PHO,3,83,13.5,.509,.325,.350,3.7,5.1,4.4,17.3,2.3,1.9,17.8,28.2,,-0.1,0.0,0.0,-0.014,,-1.8,-2.7,-4.5,0.0
50,Eric Bledsoe\bledser01,PG,28,MIL,15,471,20.2,.552,.337,.399,3.0,12.2,7.6,22.0,3.3,2.1,13.8,27.8,,0.5,0.6,1.1,.110,,1.8,-0.4,1.4,0.4
51,Vander Blue\blueva01,SG,25,LAL,4,28,-3.2,.333,.000,.000,0.0,3.8,1.9,4.5,0.0,0.0,40.0,7.4,,-0.1,0.0,-0.1,-0.096,,-9.3,-1.2,-10.5,-0.1
52,Bogdan Bogdanovic\bogdabo01,SG,25,SAC,24,583,12.6,.536,.409,.172,1.5,9.4,5.3,14.5,2.4,1.3,14.8,19.8,,0.1,0.4,0.4,.036,,-0.9,-0.9,-1.8,0.0
53,Bojan Bogdanovic\bogdabo02,SF,28,IND,27,854,13.8,.618,.466,.190,0.9,9.7,5.4,5.9,0.9,0.1,8.3,17.9,,1.5,0.3,1.9,.105,,1.8,-2.3,-0.5,0.3
54,Andrew Bogut\bogutan01,C,33,LAL,16,123,11.3,.600,.000,.000,10.3,29.1,19.7,10.7,1.5,6.5,42.3,8.8,,0.0,0.3,0.2,.090,,-5.2,5.6,0.4,0.1
55,Joel Bolomboy\bolomjo01,PF,24,MIL,5,31,8.1,.377,.250,1.500,19.2,11.6,15.4,0.0,3.3,0.0,23.1,12.9,,0.0,0.0,0.0,.013,,-4.7,-4.0,-8.7,-0.1
56,Devin Booker\bookede01,SG,21,PHO,25,851,19.5,.573,.345,.294,1.7,12.4,7.0,21.0,1.3,0.7,13.0,29.8,,1.5,0.2,1.7,.098,,3.5,-2.7,0.8,0.6
57,Trevor Booker\booketr01,PF,30,TOT,21,459,17.8,.562,.081,.312,11.1,20.9,15.9,16.1,1.1,1.4,14.7,21.0,,0.7,0.5,1.1,.120,,-0.1,1.0,0.9,0.3
57,Trevor Booker\booketr01,PF,30,BRK,18,395,15.5,.536,.087,.287,9.8,21.5,15.6,15.7,1.0,1.0,15.1,21.0,,0.3,0.4,0.7,.084,,-1.3,0.8,-0.5,0.2
57,Trevor Booker\booketr01,PF,30,PHI,3,64,32.3,.718,.043,.478,18.6,17.7,18.1,18.3,2.2,3.9,12.6,20.7,,0.4,0.1,0.5,.338,,6.7,2.4,9.0,0.2
58,Avery Bradley\bradlav01,SG,27,DET,27,850,11.7,.524,.340,.186,2.0,7.0,4.4,9.9,2.0,0.5,14.1,24.1,,-0.2,0.8,0.5,.031,,-1.6,-0.9,-2.6,-0.1
59,Tony Bradley\bradlto01,C,20,UTA,7,21,2.2,.202,.111,.222,16.1,28.3,22.0,6.5,0.0,0.0,0.0,21.3,,-0.1,0.0,-0.1,-0.130,,-10.5,-3.4,-14.0,-0.1
60,Corey Brewer\breweco01,SF,31,LAL,26,298,7.6,.493,.276,.310,1.8,9.5,5.6,8.0,3.1,1.1,17.5,11.2,,-0.1,0.4,0.3,.052,,-4.1,1.7,-2.4,0.0
61,Malcolm Brogdon\brogdma01,PG,25,MIL,24,725,14.6,.565,.340,.151,0.8,10.1,5.4,19.2,1.6,0.5,11.0,19.8,,1.0,0.4,1.4,.090,,0.9,-2.7,-1.8,0.0
62,Aaron Brooks\brookaa01,PG,33,MIN,11,53,16.5,.594,.476,.095,4.3,8.9,6.6,20.8,0.9,0.0,8.4,19.8,,0.1,0.0,0.2,.143,,3.4,-4.2,-0.8,0.0
63,Dillon Brooks\brookdi01,SF,22,MEM,27,763,7.6,.545,.343,.183,2.6,11.6,7.1,7.1,1.6,1.3,17.1,13.9,,-0.1,0.5,0.4,.025,,-2.6,0.4,-2.2,0.0
64,Bobby Brown\brownbo02,PG,33,HOU,16,102,3.8,.401,.673,.041,0.0,7.7,3.9,14.5,1.4,0.0,13.8,24.6,,-0.3,0.1,-0.2,-0.090,,-5.9,-3.9,-9.8,-0.2
65,Jaylen Brown\brownja02,SF,21,BOS,27,844,13.7,.555,.380,.307,3.9,16.4,10.3,6.7,1.7,0.7,11.2,21.2,,0.5,1.4,1.9,.110,,-0.7,0.4,-0.2,0.4
66,Lorenzo Brown\brownlo01,PG,27,TOR,6,49,5.9,.167,.500,.000,0.0,16.1,8.3,12.3,4.0,0.0,0.0,5.4,,0.0,0.1,0.0,.046,,-3.9,3.8,-0.1,0.0
67,Sterling Brown\brownst02,SG,22,MIL,5,29,8.1,.375,.333,.000,8.2,12.4,10.3,10.3,3.5,0.0,7.7,20.7,,0.0,0.0,0.0,-0.029,,-3.7,-2.0,-5.7,0.0
68,Nicolas Brussino\brussni01,SF,24,ATL,4,10,-4.7,.000,1.000,.000,0.0,34.7,17.1,0.0,0.0,0.0,0.0,8.8,,0.0,0.0,0.0,-0.190,,-13.4,-5.3,-18.7,0.0
69,Reggie Bullock\bullore01,SF,26,DET,13,195,7.8,.410,.526,.132,2.8,5.4,4.0,8.4,2.8,0.9,6.9,9.7,,0.0,0.2,0.2,.046,,-2.6,1.5,-1.1,0.0
70,Alec Burks\burksal01,SG,26,UTA,26,514,17.5,.569,.335,.288,1.8,16.7,9.0,10.9,2.4,1.2,9.5,23.3,,0.7,0.7,1.4,.135,,0.1,0.0,0.1,0.3
71,Jimmy Butler\butleji01,SG,28,MIN,26,972,20.0,.556,.221,.335,3.9,13.4,8.6,19.8,2.4,0.6,9.8,23.2,,2.2,0.7,2.9,.146,,3.1,-0.2,2.9,1.2
72,Bruno Caboclo\cabocbr01,SF,22,TOR,2,7,-0.1,.000,1.000,.000,0.0,16.1,8.3,16.8,7.0,0.0,0.0,12.6,,0.0,0.0,0.0,-0.120,,-6.4,4.5,-1.9,0.0
73,Jose Calderon\caldejo01,PG,36,CLE,19,311,8.8,.633,.569,.157,1.1,7.0,4.2,13.6,1.7,0.0,20.4,9.8,,0.3,0.1,0.5,.071,,-0.6,-1.6,-2.2,0.0
74,Kentavious Caldwell-Pope\caldwke01,SG,24,LAL,24,829,12.8,.537,.510,.226,2.7,12.3,7.5,9.6,2.4,0.7,11.2,17.9,,0.5,1.1,1.5,.089,,0.0,0.6,0.7,0.6
75,Isaiah Canaan\canaais01,SG,26,HOU,1,4,-7.3,.000,.000,.000,0.0,28.1,14.2,0.0,0.0,0.0,0.0,10.9,,0.0,0.0,0.0,-0.219,,-16.8,-3.8,-20.6,0.0
76,Clint Capela\capelca01,C,23,HOU,25,629,26.9,.679,.005,.364,14.7,35.0,25.0,8.1,1.5,6.1,13.4,20.1,,2.3,1.3,3.6,.278,,1.2,3.7,4.9,1.1
77,DeMarre Carroll\carrode01,SF,31,BRK,24,708,14.4,.543,.488,.377,5.6,19.7,12.6,8.5,1.5,1.1,10.6,19.4,,0.7,0.7,1.5,.099,,0.1,0.3,0.4,0.4
78,Vince Carter\cartevi01,SF,41,SAC,17,223,6.0,.409,.554,.107,1.5,10.7,5.9,7.7,1.6,3.4,9.3,13.0,,-0.2,0.1,-0.1,-0.017,,-4.3,0.2,-4.0,-0.1
79,Michael Carter-Williams\cartemi01,PG,26,CHO,15,259,8.7,.412,.203,.486,5.3,12.8,9.1,20.3,2.8,1.3,19.7,18.7,,-0.3,0.4,0.0,.007,,-4.1,2.1,-2.0,0.0
80,Alex Caruso\carusal01,PG,23,LAL,2,19,4.8,.500,.000,.000,0.0,11.1,5.5,26.9,0.0,0.0,50.0,8.8,,0.0,0.0,0.0,-0.024,,-8.1,-2.7,-10.8,0.0
81,Omri Casspi\casspom01,SF,29,GSW,24,353,16.1,.656,.138,.362,3.5,25.0,15.2,9.3,0.9,2.7,12.1,15.2,,0.7,0.5,1.3,.172,,-0.6,0.5,-0.1,0.2
82,Willie Cauley-Stein\caulewi01,C,24,SAC,24,595,16.9,.529,.029,.301,7.7,20.1,13.6,14.3,1.5,3.8,13.0,20.3,,0.5,0.5,1.0,.084,,-1.5,1.6,0.1,0.3
83,Tyler Cavanaugh\cavanty01,PF,23,ATL,18,254,15.4,.615,.583,.167,8.9,17.7,13.3,12.3,1.0,0.7,9.4,14.8,,0.6,0.1,0.7,.139,,2.4,-1.4,1.0,0.2
84,Mario Chalmers\chalmma01,PG,31,MEM,26,598,9.8,.462,.399,.322,0.8,13.8,7.2,23.9,2.8,0.6,17.1,19.6,,-0.4,0.6,0.2,.014,,-2.8,0.0,-2.7,-0.1
85,Tyson Chandler\chandty01,C,35,PHO,21,548,15.6,.668,.000,.490,11.7,27.4,19.4,5.4,0.8,2.1,17.1,10.7,,1.1,0.4,1.5,.133,,-0.3,0.5,0.2,0.3
86,Wilson Chandler\chandwi01,SF,30,DEN,23,687,10.5,.527,.404,.218,4.9,12.3,8.6,11.3,0.7,1.0,13.8,15.0,,0.6,0.3,0.9,.061,,-0.6,-1.0,-1.6,0.1
87,Marquese Chriss\chrisma01,PF,20,PHO,29,587,11.2,.507,.386,.265,4.6,20.0,12.1,8.5,1.4,4.1,13.5,15.2,,0.1,0.5,0.6,.052,,-2.1,1.2,-0.9,0.2
88,Ian Clark\clarkia01,SG,26,NOP,24,361,6.9,.472,.522,.115,0.6,9.3,5.1,11.9,1.2,0.5,11.9,16.2,,-0.2,0.1,-0.1,-0.009,,-3.2,-2.3,-5.5,-0.3
89,Jordan Clarkson\clarkjo01,SG,25,LAL,26,586,19.3,.568,.290,.217,4.1,9.9,7.0,22.8,1.4,0.0,12.2,27.9,,1.0,0.5,1.5,.123,,2.4,-2.3,0.1,0.3
90,Gian Clavell\clavegi01,SG,24,DAL,7,64,7.7,.530,.833,.111,1.7,10.6,6.0,7.0,1.6,0.0,9.6,14.8,,0.0,0.1,0.1,.053,,-1.4,-1.3,-2.7,0.0
91,Antonius Cleveland\clevean01,SG,23,DAL,10,58,8.5,.363,.083,.333,3.7,13.6,8.5,4.9,4.3,6.4,12.7,12.3,,-0.1,0.1,0.0,.028,,-6.9,6.4,-0.4,0.0
92,John Collins\collijo01,PF,20,ATL,21,484,20.4,.622,.006,.270,15.4,19.8,17.6,5.9,1.4,3.4,13.7,20.5,,1.2,0.4,1.6,.154,,0.6,-0.1,0.5,0.3
93,Zach Collins\colliza01,C,20,POR,10,81,1.6,.356,.304,.087,9.6,10.8,10.2,8.9,1.8,3.0,27.4,17.7,,-0.3,0.1,-0.1,-0.079,,-7.0,1.9,-5.1,-0.1
94,Darren Collison\collida01,PG,30,IND,26,803,17.2,.570,.333,.256,2.4,8.8,5.7,28.1,1.9,0.5,12.5,17.1,,2.0,0.6,2.6,.153,,2.4,-1.2,1.2,0.7
95,Nick Collison\collini01,PF,37,OKC,5,24,18.2,.820,.000,.500,13.5,24.6,18.8,19.0,0.0,0.0,29.1,12.4,,0.1,0.0,0.1,.213,,0.4,-0.7,-0.3,0.0
96,Mike Conley\conlemi01,PG,30,MEM,12,373,16.2,.520,.458,.393,0.0,8.6,4.3,23.2,1.7,0.7,8.4,26.8,,0.4,0.2,0.6,.082,,1.6,-3.1,-1.5,0.0
97,Pat Connaughton\connapa01,SG,25,POR,26,523,10.1,.581,.578,.104,1.5,10.7,6.1,8.6,0.4,1.1,10.2,13.1,,0.6,0.5,1.1,.101,,-0.4,-0.5,-0.9,0.1
98,Quinn Cook\cookqu01,PG,24,GSW,6,67,13.8,.651,.500,.056,1.8,9.1,5.8,19.5,0.0,0.0,9.8,13.2,,0.2,0.0,0.2,.151,,1.6,-4.0,-2.4,0.0
99,Charles Cooke\cookech01,SG,23,NOP,3,5,8.7,.250,.500,.000,0.0,0.0,0.0,30.2,9.6,0.0,0.0,34.8,,0.0,0.0,0.0,-0.199,,-6.8,-4.0,-10.8,0.0
100,Jack Cooley\cooleja01,PF,26,SAC,1,2,49.7,.532,.000,2.000,0.0,59.7,28.8,64.0,0.0,0.0,0.0,42.3,,0.0,0.0,0.0,.544,,13.3,6.2,19.5,0.0
101,Matt Costello\costema01,C,24,SAS,1,11,16.5,1.000,.000,.000,0.0,50.8,25.4,0.0,0.0,15.4,0.0,4.1,,0.0,0.0,0.1,.250,,-7.2,4.4,-2.7,0.0
102,DeMarcus Cousins\couside01,C,27,NOP,28,994,23.4,.573,.337,.417,6.6,31.8,19.6,23.5,2.1,3.6,17.9,34.1,,1.0,1.5,2.5,.121,,1.6,2.9,4.5,1.6
103,Robert Covington\covinro01,PF,27,PHI,25,804,15.7,.611,.658,.161,3.5,16.5,10.2,8.7,2.4,2.1,12.8,18.6,,1.1,1.1,2.2,.133,,2.2,1.0,3.2,1.1
104,Allen Crabbe\crabbal01,SG,25,BRK,23,635,11.8,.550,.640,.176,1.8,13.5,7.6,8.1,1.0,0.7,9.5,18.7,,0.5,0.4,0.9,.068,,0.2,-1.1,-0.9,0.2
105,Torrey Craig\craigto01,SF,27,DEN,1,6,-4.9,.000,1.000,.000,0.0,18.8,9.3,0.0,0.0,0.0,0.0,7.2,,0.0,0.0,0.0,-0.153,,-10.4,-4.2,-14.6,0.0
106,Jamal Crawford\crawfja01,SG,37,MIN,28,495,13.9,.529,.441,.216,1.4,6.2,3.7,18.2,1.4,0.4,12.0,24.6,,0.5,0.1,0.6,.055,,0.5,-4.2,-3.7,-0.2
107,Jordan Crawford\crawfjo02,SG,29,NOP,2,37,16.2,.643,.357,.000,6.2,2.9,4.5,36.2,0.0,2.3,22.2,21.2,,0.1,0.0,0.1,.125,,1.5,-5.0,-3.5,0.0
108,Jae Crowder\crowdja01,SF,27,CLE,28,723,9.4,.533,.535,.282,3.6,9.8,6.8,5.5,1.3,0.6,10.6,15.7,,0.4,0.3,0.8,.050,,-0.8,-1.7,-2.5,-0.1
109,Dante Cunningham\cunnida01,SF,30,NOP,27,622,9.3,.530,.549,.195,5.2,14.2,9.9,3.8,1.2,1.1,5.2,10.7,,0.5,0.3,0.9,.066,,-0.9,-0.6,-1.5,0.1
110,Stephen Curry\curryst01,PG,29,GSW,23,750,27.6,.643,.537,.367,2.5,13.8,8.7,30.6,2.5,0.4,12.4,31.1,,3.4,1.0,4.4,.279,,8.8,-1.1,7.6,1.8
111,Troy Daniels\danietr01,SG,26,PHO,29,467,9.8,.601,.810,.051,0.7,6.6,3.6,4.7,0.7,0.0,9.5,15.9,,0.5,-0.1,0.5,.050,,1.2,-4.2,-3.0,-0.1
112,Anthony Davis\davisan02,PF,24,NOP,23,803,28.2,.643,.111,.497,7.8,25.5,16.9,12.6,1.5,4.3,10.2,27.1,,3.1,1.0,4.0,.241,,3.3,1.3,4.6,1.3
113,Deyonta Davis\davisde01,C,21,MEM,14,165,17.6,.644,.000,.268,7.9,25.3,16.5,5.2,1.2,5.6,9.8,14.3,,0.3,0.2,0.6,.167,,-2.0,1.8,-0.1,0.1
