Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
1,Houston Rockets,W,SW,21,4,.840,11.00,116.03,105.06,10.97,10.77,116.06,105.34,10.72
2,Golden State Warriors,W,P,22,6,.786,11.00,116.03,105.23,10.80,10.72,116.32,105.86,10.46
3,Toronto Raptors,E,A,17,8,.680,7.32,113.54,106.00,7.54,7.07,113.49,106.24,7.25
4,Boston Celtics,E,A,23,6,.793,5.93,108.67,102.42,6.25,5.06,108.48,103.13,5.35
5,Utah Jazz,W,NW,13,14,.481,3.11,108.43,104.75,3.68,3.12,107.99,104.30,3.69
6,San Antonio Spurs,W,SW,19,9,.679,3.54,108.00,104.14,3.86,2.55,107.86,105.01,2.85
7,Cleveland Cavaliers,E,C,20,8,.714,3.54,114.66,110.72,3.94,2.25,114.12,111.53,2.59
8,Indiana Pacers,E,C,16,11,.593,1.52,110.98,109.37,1.61,2.02,111.20,109.09,2.11
9,Oklahoma City Thunder,W,NW,12,14,.462,2.15,106.29,104.05,2.24,1.79,106.26,104.35,1.91
10,Washington Wizards,E,SE,14,13,.519,2.15,109.48,107.22,2.26,1.38,109.37,107.92,1.45
11,Portland Trail Blazers,W,NW,13,13,.500,1.77,106.73,104.89,1.84,1.26,105.99,104.73,1.26
12,Philadelphia 76ers,E,A,14,13,.519,-0.33,107.44,107.87,-0.43,1.23,107.88,106.72,1.16
13,Minnesota Timberwolves,W,NW,16,12,.571,0.57,111.65,110.78,0.87,0.32,112.19,111.57,0.62
14,Detroit Pistons,E,C,14,13,.519,0.19,107.31,107.41,-0.10,0.81,106.97,106.45,0.53
15,New York Knicks,E,A,14,13,.519,0.37,108.86,108.36,0.51,0.36,108.68,108.18,0.50
16,Denver Nuggets,W,NW,15,12,.556,0.37,110.12,109.74,0.39,-0.16,110.54,110.73,-0.19
17,Milwaukee Bucks,E,C,15,10,.600,0.08,109.65,109.70,-0.05,-0.17,110.82,111.10,-0.29
18,New Orleans Pelicans,W,SW,14,14,.500,-0.96,110.21,111.21,-1.00,-0.24,110.13,110.44,-0.30
19,Charlotte Hornets,E,SE,10,16,.385,-1.62,105.66,107.41,-1.76,-1.27,105.27,106.68,-1.40
20,Miami Heat,E,SE,13,13,.500,-2.27,104.96,107.35,-2.39,-1.95,104.74,106.77,-2.03
21,Dallas Mavericks,W,SW,8,20,.286,-3.00,104.69,107.59,-2.90,-2.16,104.64,106.68,-2.04
22,Brooklyn Nets,E,A,11,15,.423,-2.27,106.63,108.76,-2.14,-2.43,106.39,108.63,-2.24
23,Memphis Grizzlies,W,SW,8,19,.296,-4.19,104.89,109.54,-4.65,-2.20,105.61,108.24,-2.63
24,Los Angeles Clippers,W,P,10,15,.400,-2.28,108.87,111.45,-2.58,-2.37,109.35,111.98,-2.63
25,Los Angeles Lakers,W,P,10,16,.385,-2.77,102.93,105.71,-2.78,-3.13,102.38,105.57,-3.19
26,Orlando Magic,E,SE,11,17,.393,-3.82,107.07,111.04,-3.97,-3.49,107.18,110.76,-3.59
27,Atlanta Hawks,E,SE,6,21,.222,-5.37,106.55,111.97,-5.43,-5.30,106.28,111.60,-5.32
28,Phoenix Suns,W,P,9,20,.310,-7.90,105.04,112.87,-7.83,-8.47,105.44,113.85,-8.41
29,Chicago Bulls,E,C,6,20,.231,-8.62,100.86,109.78,-8.93,-8.37,100.99,109.61,-8.62
30,Sacramento Kings,W,P,9,18,.333,-8.78,101.84,111.29,-9.45,-8.48,101.46,110.63,-9.16